Mean_ax,RMS_ax,STD_ax,Peak_ax,Mean_ay,RMS_ay,STD_ay,Peak_ay,Mean_az,RMS_az,STD_az,Peak_az,Mean_current,RMS_current,STD_current,Peak_current,Mean_voltage,Mean_temp,label,session_id
-0.333142578125,0.3428084861888996,0.0808311873187154,0.741,0.647759765625,0.6525390179306331,0.078831820728181,0.99,-2.122669921875,2.122796383624234,0.0231708673835572,2.206,0.644626953125,0.6570326895049629,0.1270749636352655,0.771,24.167935546875,36.20515625,Misalignment,Misalignment_s1
-0.334125,0.3439388174606786,0.0815744723013885,0.702,0.6558203125,0.6615048923902604,0.0865357750797457,1.042,-2.1285195312500003,2.128607065445029,0.0193039931045437,2.167,0.6831113281250001,0.6837958494111199,0.0305888388006734,0.751,24.168251953125,36.2093359375,Misalignment,Misalignment_s1
-0.3305605468749999,0.3392923040360995,0.0764787057148977,0.67,0.65447265625,0.6607945708340452,0.0911866605640284,0.995,-2.128755859375,2.128869163667797,0.0219637699912884,2.184,0.68096875,0.6816637476379025,0.0307737935131094,0.763,24.168046875,36.2301953125,Misalignment,Misalignment_s1
-0.33175,0.3429298568494,0.0868494341878517,0.726,0.6537792968749999,0.6592663521270253,0.0848808224777871,1.1,-2.126974609375,2.1270680465395024,0.0199370429964215,2.206,0.65796875,0.6586532127663995,0.0300196387542805,0.726,24.168328125,36.2924609375,Misalignment,Misalignment_s1
-0.3369531249999999,0.3484679639149056,0.0888398189312336,0.763,0.6520703125,0.6568523931647429,0.0791162054348054,1.02,-2.1236875,2.123838220099697,0.0253019268040993,2.197,0.662107421875,0.6630713735974243,0.0357408503314592,0.747,24.168955078125,36.3119140625,Misalignment,Misalignment_s1
-0.330544921875,0.3410595021171159,0.0840335564344693,0.707,0.65063671875,0.6565714599579013,0.0880791816803687,0.983,-2.125693359375,2.125817390128295,0.0229634074323062,2.228,0.671576171875,0.6723271429217885,0.0317684195246703,0.753,24.169146484375,36.32796875,Misalignment,Misalignment_s1
-0.332345703125,0.3426133508827771,0.0832480739565448,0.744,0.649708984375,0.6564014512738184,0.0934938546471424,1.024,-2.126376953125,2.1264681192318347,0.0196904882676014,2.187,0.678087890625,0.6791516666607872,0.0379973540639744,0.758,24.169013671875003,36.3340625,Misalignment,Misalignment_s1
-0.3351835937499999,0.3441806450198064,0.0781810391788505,0.736,0.650267578125,0.6557233020322863,0.0844104594678409,1.02,-2.125775390625,2.12587284509578,0.0203553955685872,2.182,0.6732109375,0.6741024414452895,0.0346573973759007,0.752,24.169212890625,36.35304687499999,Misalignment,Misalignment_s1
-0.33117578125,0.3413755606915937,0.0828243644765967,0.717,0.64805078125,0.6528498762636783,0.0790135802173566,1.02,-2.127232421875,2.127359576465184,0.0232592111204791,2.226,0.665431640625,0.6663441347077161,0.0348602569482189,0.758,24.169607421875,36.3837890625,Misalignment,Misalignment_s1
-0.325552734375,0.3352686510238841,0.080127932085732,0.685,0.64846484375,0.6527827063569852,0.0749573754812565,1.063,-2.1313671875,2.131440658627399,0.0176972681038583,2.233,0.65683984375,0.6576454716686263,0.0325420661410056,0.743,24.169287109375,36.38472656249999,Misalignment,Misalignment_s1
-0.330720703125,0.340278220840131,0.0800817338887627,0.705,0.65419921875,0.6589186335390737,0.0787219652440768,1.093,-2.130533203125,2.130606953484001,0.0177273973358327,2.206,0.666322265625,0.6668805661084487,0.0272823713319048,0.73,24.1696953125,36.42414062499999,Misalignment,Misalignment_s1
-0.33815625,0.3455934999207884,0.0713107128939088,0.646,0.6560546875,0.6601325772382771,0.0732616307525797,1.034,-2.1295136718749994,2.1296231029332104,0.021588928744378,2.206,0.6697089843749999,0.6706240432775096,0.0350211888616164,0.75,24.169544921875,36.4533984375,Misalignment,Misalignment_s1
-0.3340625,0.3420544204691704,0.0735083169189038,0.67,0.65981640625,0.6639873398642477,0.074306779928449,1.083,-2.129412109375,2.1295075212835304,0.0201581658450871,2.228,0.667126953125,0.6677899051512197,0.029748711501997,0.747,24.169396484375,36.4923828125,Misalignment,Misalignment_s1
-0.330630859375,0.3391410306522568,0.0754975065868004,0.663,0.6497890625,0.6545521638160323,0.0788207422676359,1.01,-2.125353515625,2.125465898834741,0.0218568234157637,2.192,0.66454296875,0.6654737034624284,0.0351836991366246,0.761,24.16942578125,36.50628906249999,Misalignment,Misalignment_s1
-0.336060546875,0.3453692402478469,0.0796443403102249,0.744,0.6493730468749999,0.6541432269221512,0.0788543424321327,1.049,-2.124705078125,2.1248375521547227,0.0237266524548374,2.197,0.666306640625,0.6672921624581882,0.0362531479619646,0.762,24.169591796875,36.51785156249999,Misalignment,Misalignment_s1
-0.3328671875,0.3407936623713827,0.0730736327161846,0.724,0.6411250000000001,0.6470382372539895,0.087276656923544,1.068,-2.1251171875,2.1252433877161576,0.0231602336633256,2.214,0.677978515625,0.6790379784458856,0.0379171270377468,0.78,24.169630859375,36.5409765625,Misalignment,Misalignment_s1
-0.3289609375,0.3359220287135097,0.0680316909544448,0.663,0.648439453125,0.6530174418014231,0.0771884377858881,1.029,-2.126578125,2.1266968326418203,0.022469896311162,2.206,0.6642011718749999,0.6650633413795073,0.0338533798423688,0.749,24.169607421875,36.5798046875,Misalignment,Misalignment_s1
-0.333369140625,0.3403955563247338,0.0688051658276758,0.69,0.649783203125,0.6540899853876185,0.074936626031534,1.068,-2.12859765625,2.1287202792625783,0.0228483073936962,2.197,0.671876953125,0.6725287560650288,0.0296021552229149,0.756,24.169550781250003,36.578007812500005,Misalignment,Misalignment_s1
